tick,read_write_time_ms,mem_usage_mb,chunks_loaded,chunks_unloaded,used_cells,used_cells_bbox_w,used_cells_bbox_h,player_x,player_y,savefile_size
3708,0.058,56.0156574249268,0,0,4096,64,64,17471.84765625,17471.84765625,1589248
3709,0.058,56.0156583786011,0,0,4096,64,64,17476.5625,17476.5625,1589248
3710,0.036,56.0156593322754,0,0,4096,64,64,17481.27734375,17481.27734375,1589248
3711,0.038,56.0156602859497,0,0,4096,64,64,17485.9921875,17485.9921875,1589248
3712,0.058,56.015661239624,0,0,4096,64,64,17490.70703125,17490.70703125,1589248
3713,0.062,56.0156621932983,0,0,4096,64,64,17495.421875,17495.421875,1589248
3714,0.044,56.0156631469727,0,0,4096,64,64,17500.13671875,17500.13671875,1589248
3715,0.043,56.015664100647,0,0,4096,64,64,17504.8515625,17504.8515625,1589248
3716,0.059,56.0156650543213,0,0,4096,64,64,17509.56640625,17509.56640625,1589248
3717,0.042,56.0156660079956,0,0,4096,64,64,17514.28125,17514.28125,1589248
3718,0.06,56.0156669616699,0,0,4096,64,64,17518.99609375,17518.99609375,1589248
3719,0.057,56.0156679153442,0,0,4096,64,64,17523.7109375,17523.7109375,1589248
3720,0.056,56.0156688690186,0,0,4096,64,64,17528.42578125,17528.42578125,1589248
3721,0.046,56.0156698226929,0,0,4096,64,64,17533.140625,17533.140625,1589248
3722,0.043,56.0156707763672,0,0,4096,64,64,17537.85546875,17537.85546875,1589248
3723,0.057,56.0156717300415,0,0,4096,64,64,17542.5703125,17542.5703125,1589248
3724,0.049,56.0156726837158,0,0,4096,64,64,17547.28515625,17547.28515625,1589248
3725,0.06,56.0156736373901,0,0,4096,64,64,17552.0,17552.0,1589248
3726,0.052,56.0156745910645,0,0,4096,64,64,17556.71484375,17556.71484375,1589248
3727,0.064,56.0156755447388,0,0,4096,64,64,17561.4296875,17561.4296875,1589248
3728,0.045,56.0156764984131,0,0,4096,64,64,17566.14453125,17566.14453125,1589248
3729,0.036,56.0156774520874,0,0,4096,64,64,17570.859375,17570.859375,1589248
3730,0.034,56.0156784057617,0,0,4096,64,64,17575.57421875,17575.57421875,1589248
3731,0.043,56.015679359436,0,0,4096,64,64,17580.2890625,17580.2890625,1589248
3732,0.038,56.0156803131104,0,0,4096,64,64,17585.00390625,17585.00390625,1589248
3733,0.102,56.0156812667847,0,0,4096,64,64,17589.71875,17589.71875,1589248
3734,0.055,56.015682220459,0,0,4096,64,64,17594.43359375,17594.43359375,1589248
3735,0.037,56.0156831741333,0,0,4096,64,64,17599.1484375,17599.1484375,1589248
3736,0.04,56.0156841278076,0,0,4096,64,64,17603.86328125,17603.86328125,1589248
3737,0.043,56.0156850814819,0,0,4096,64,64,17608.578125,17608.578125,1589248
3738,0.043,56.0156860351563,0,0,4096,64,64,17613.29296875,17613.29296875,1589248
3739,0.055,56.0156869888306,0,0,4096,64,64,17618.0078125,17618.0078125,1589248
3740,0.057,56.0156879425049,0,0,4096,64,64,17622.72265625,17622.72265625,1589248
3741,0.056,56.0156888961792,0,0,4096,64,64,17627.4375,17627.4375,1589248
3742,0.058,56.0156898498535,0,0,4096,64,64,17632.15234375,17632.15234375,1589248
3743,0.056,56.0156908035278,0,0,4096,64,64,17636.8671875,17636.8671875,1589248
